sample_index,host_elapsed_s,pulse_fpga_time_s,group_id,pulse_id,valid,invalid_reason,baseline_pre_v,baseline_post_v,baseline_for_area_v,threshold_v,pulse_duration_s,pulse_height_v,peak_height_v,pulse_area_v_us,correction_active_v,effective_high_v,live_target_area_v_us,live_area_error_v_us,live_p_term_v_us,live_i_term_v_us,live_d_term_v_us,live_pid_latency_cycles
3094,30.94143841499954,5564.69138388,30938264,0,1,none,-0.101806640625,-0.1094970703125,-0.10565185546875,-0.0079345703125,4.56e-07,0.4342704906798245,0.4959716796875,0.19802734375,0.0311279296875,0.5311279296875,0.2,-0.0003642578125,0.0,-0.0088203125,0.0,16
3095,30.95144017199982,5564.701387816,30948268,0,1,none,-0.10546875,-0.111328125,-0.1083984375,-0.0103759765625,4.56e-07,0.43700101082785087,0.49267578125,0.1992724609375,0.0311279296875,0.5311279296875,0.2,-0.0004765625,0.0,-0.008818359375,0.0,3
3096,30.961445771999934,5564.711386752,30958267,0,1,none,-0.10400390625,-0.110107421875,-0.1070556640625,-0.0093994140625,4.56e-07,0.4376284950657895,0.494384765625,0.19955859375,0.0311279296875,0.5311279296875,0.2,-0.0005810546875,-3.41796875e-05,-0.008818359375,0.0,3
3097,30.9714512999999,5564.721386688,30968267,0,1,none,-0.1063232421875,-0.109130859375,-0.10772705078125,-0.0103759765625,4.56e-07,0.4383373595120614,0.4920654296875,0.1998818359375,0.0311279296875,0.5311279296875,0.2,-0.0003828125,0.0,-0.0088173828125,0.0,3
3098,30.98143609899944,5564.731384624,30978265,0,1,none,-0.1068115234375,-0.112060546875,-0.10943603515625,-0.01025390625,4.56e-07,0.4385172526041667,0.4949951171875,0.1999638671875,0.0311279296875,0.5311279296875,0.2,0.0004091796875,4.00390625e-05,-0.0088115234375,0.0,3
3099,30.991440495999996,5564.74138456,30988265,0,1,none,-0.1060791015625,-0.11181640625,-0.10894775390625,-0.0093994140625,4.56e-07,0.4369860197368421,0.4927978515625,0.199265625,0.0311279296875,0.5311279296875,0.2,0.0005507812500000001,0.0,-0.0088115234375,0.0,3
3100,31.001439879999452,5564.751380496,30998261,0,1,none,-0.1064453125,-0.10986328125,-0.108154296875,-0.0087890625,4.56e-07,0.43740148711622806,0.49609375,0.199455078125,0.0311279296875,0.5311279296875,0.2,0.00071484375,6.25e-05,-0.0088095703125,0.0,3
3101,31.011458526999377,5564.76139044,31008271,0,1,none,-0.1065673828125,-0.1103515625,-0.10845947265625,-0.00927734375,4.64e-07,0.43239619814116376,0.490478515625,0.2006318359375,0.0311279296875,0.5311279296875,0.2,0.0013955078125,5.37109375e-05,-0.0088076171875,0.0,16
3102,31.0214451009997,5564.771386376,31018267,0,1,none,-0.1077880859375,-0.1112060546875,-0.1094970703125,-0.0098876953125,4.64e-07,0.4334022258890086,0.498291015625,0.2010986328125,0.0311279296875,0.5311279296875,0.2,-0.0003115234375,-3.80859375e-05,-0.00880859375,0.0,16
3103,31.031445394000002,5564.781387312,31028268,0,1,none,-0.1075439453125,-0.1094970703125,-0.1085205078125,-0.0093994140625,4.64e-07,0.4322993837553879,0.499267578125,0.2005869140625,0.0311279296875,0.5311279296875,0.2,-0.0005703125,0.0,-0.0088046875,0.0,3
3104,31.04144252900005,5564.791387248,31038268,0,1,none,-0.10107421875,-0.1107177734375,-0.10589599609375,-0.00732421875,4.56e-07,0.43424479166666663,0.4913330078125,0.198015625,0.0311279296875,0.5311279296875,0.2,0.00023242187500000002,0.0,-0.0088076171875,0.0,16
3105,31.05144337999991,5564.801388184,31048269,0,1,none,-0.1046142578125,-0.109375,-0.10699462890625,-0.0096435546875,4.56e-07,0.4351335492050438,0.4937744140625,0.1984208984375,0.0311279296875,0.5311279296875,0.2,-0.0002978515625,-5.2734375e-05,-0.0088076171875,0.0,3
3106,31.061438093000106,5564.81138312,31058264,0,1,none,-0.104248046875,-0.111083984375,-0.107666015625,-0.0091552734375,4.56e-07,0.43797757332785087,0.4925537109375,0.1997177734375,0.0311279296875,0.5311279296875,0.2,0.0003125,0.0,-0.0088056640625,0.0,3
3107,31.071437782999965,5564.821387056,31068268,0,1,none,-0.104736328125,-0.110107421875,-0.107421875,-0.0086669921875,4.56e-07,0.4374271861293859,0.497314453125,0.199466796875,0.0311279296875,0.5311279296875,0.2,0.0007353515625,0.0,-0.0088056640625,0.0,3
3108,31.08143547199961,5564.831385992,31078267,0,1,none,-0.1070556640625,-0.11181640625,-0.10943603515625,-0.0115966796875,4.56e-07,0.4378940515350877,0.4903564453125,0.1996796875,0.0311279296875,0.5311279296875,0.2,0.0002216796875,4.1992187500000003e-05,-0.008799804687500001,0.0,3
3109,31.09144173599998,5564.841386928,31088268,0,1,none,-0.106689453125,-0.1121826171875,-0.10943603515625,-0.009765625,4.56e-07,0.4387121367872807,0.495361328125,0.200052734375,0.0311279296875,0.5311279296875,0.2,0.000322265625,0.0,-0.0088017578125,0.0,3
3110,31.101431963999858,5564.851386864,31098268,0,1,none,-0.10595703125,-0.1099853515625,-0.10797119140625,-0.0086669921875,4.56e-07,0.43674616228070173,0.500244140625,0.19915625,0.0311279296875,0.5311279296875,0.2,0.00061328125,0.0,-0.0088037109375,0.0,16
